Tytuł;Tytuł org.;Rok;Długość;Ocena;Liczba ocen;Chce zobaczyć;Ocena krytyków;Liczba ocen krytyków;Reżyser;Scenariusz;Gatunek;Kraj;Box Office;Budżet;1;2;3;4;5;6;7;8;9;10;Komentarze;Typ długości;Region
Milczenie owiec;The Silence of the Lambs;1991;118.0;8.24219;673204;81570;8.48276;29.0;Jonathan Demme;Ted Tally;Thriller;USA;130742922.0;19000000.0;5590;2627;4222;6856;14139;28976;85360;206849;184975;133610;5258;Długometrażowy;USA
Podziemny krąg;Fight Club;1999;139.0;8.28509;614177;85302;8.19355;31.0;David Fincher;Jim Uhls;Thriller;USA;37030102.0;63000000.0;3946;1958;4598;6961;15604;30371;75858;163554;173945;137382;10771;Długometrażowy;USA
Szósty zmysł;The Sixth Sense;1999;107.0;7.80946;625842;68757;7.63636;22.0;M. Night Shyamalan;M. Night Shyamalan;Thriller;USA;293506292.0;40000000.0;4334;2263;4849;9541;22498;52106;125015;202951;120770;81515;2525;Długometrażowy;USA
Incepcja;Inception;2010;148.0;8.24992;608743;65175;8.0;28.0;Christopher Nolan;Christopher Nolan;;USA;292587330.0;160000000.0;1319;1049;3118;4432;12152;28788;87839;188739;179759;101548;28526;Długometrażowy;USA
Siedem;Se7en;1995;127.0;8.30513;605193;71457;8.6129;31.0;David Fincher;Andrew Kevin Walker;Akcja;USA;100125643.0;33000000.0;2159;855;2058;3398;8798;23213;83278;199172;179636;102626;6930;Długometrażowy;USA
Wyspa tajemnic;Shutter Island;2010;138.0;8.18331;575179;83501;6.78571;28.0;Martin Scorsese;Laeta Kalogridis;Dramat;USA;128012934.0;80000000.0;1185;920;2743;4691;12407;29079;85690;189299;165529;83636;10811;Długometrażowy;USA
Efekt motyla;The Butterfly Effect;2004;113.0;7.76236;504059;62247;5.5625;16.0;J. Mackye Gruber, Eric Bress;J. Mackye Gruber, Eric Bress;Thriller;USA;57938693.0;13000000.0;2944;1820;4698;7706;17767;42782;107130;165346;95681;58185;5775;Długometrażowy;USA
Kod da Vinci;The Da Vinci Code;2006;149.0;6.7012;574218;35242;4.5;16.0;Ron Howard;Akiva Goldsman;Thriller;USA;217536138.0;125000000.0;9224;8151;20848;30944;61898;102119;142114;110836;48426;39658;7979;Długometrażowy;USA
Adwokat diabła;The Devil's Advocate;1997;144.0;7.91254;435243;67088;6.35;20.0;Taylor Hackford;Tony Gilroy, Jonathan Lemkin;Thriller;USA;60944660.0;57000000.0;956;788;2138;4140;11150;30791;89968;157058;90905;47349;2580;Długometrażowy;USA
Prestiż;The Prestige;2006;130.0;8.08505;391977;81022;7.5;26.0;Christopher Nolan;Christopher Nolan, Jonathan Nolan;Dramat;USA;53089891.0;40000000.0;1039;494;1422;2663;7294;20593;68330;141717;104115;44310;6416;Długometrażowy;USA
